datetime,Living room,Bedroom,Bathroom,Kitchen,Hallway
2019-11-02 07:07:38.919063300+00:00,1.0,,,,
2019-11-02 07:08:18.563048100+00:00,,,0.0,,
2019-11-02 07:08:23.044006400+00:00,,,,,0.0
2019-11-02 07:09:16.523073300+00:00,0.0,,,,
2019-11-02 07:12:23.944022700+00:00,1.0,,,,
2019-11-02 07:12:28.865005400+00:00,,,,,1.0
2019-11-02 07:13:25.233014800+00:00,0.0,,,,
2019-11-02 07:13:29.328063800+00:00,,,,,0.0
2019-11-02 07:19:31.959098400+00:00,1.0,,,,
2019-11-02 07:19:54.797051500+00:00,,,,,1.0
2019-11-02 07:21:37.249090+00:00,0.0,,,,
2019-11-02 07:21:39.062078800+00:00,,,,,0.0
2019-11-02 09:00:01.365082300+00:00,,,,,1.0
2019-11-02 09:00:07.786076200+00:00,1.0,,,,
2019-11-02 09:01:02.106029900+00:00,,,,,0.0
2019-11-02 09:01:09.442053900+00:00,0.0,,,,
2019-11-02 09:04:46.369048800+00:00,1.0,,,,
2019-11-02 09:04:51.092035800+00:00,,,,,1.0
2019-11-02 09:04:52.772085200+00:00,,,1.0,,
2019-11-02 09:05:07.932028200+00:00,,1.0,,,
2019-11-02 09:05:52.212009300+00:00,,,,,0.0
2019-11-02 09:05:53.191066600+00:00,,,0.0,,
2019-11-02 09:05:56.788059800+00:00,,,,,1.0
2019-11-02 09:06:08.436039300+00:00,0.0,,,,
2019-11-02 09:06:40.564009300+00:00,,,1.0,,
2019-11-02 09:06:41.941054900+00:00,1.0,,,,
2019-11-02 09:07:33.190020100+00:00,,,,,0.0
2019-11-02 09:07:35.406081600+00:00,,0.0,,,
2019-11-02 09:07:43.070054+00:00,,,0.0,,
2019-11-02 09:07:43.200063200+00:00,0.0,,,,
2019-11-02 09:11:32.927073100+00:00,1.0,,,,
2019-11-02 09:11:37.275032+00:00,,,,,1.0
2019-11-02 09:11:37.792000800+00:00,,,1.0,,
2019-11-02 09:11:40.523040700+00:00,,1.0,,,
2019-11-02 09:12:34.437067500+00:00,0.0,,,,
2019-11-02 09:12:40.294052800+00:00,1.0,,,,
2019-11-02 09:13:30.414089100+00:00,,0.0,,,
2019-11-02 09:13:33.171071200+00:00,,,,,0.0
2019-11-02 09:13:42.223098400+00:00,0.0,,,,
2019-11-02 09:15:14.747080900+00:00,,,0.0,,
2019-11-02 09:15:36.723017600+00:00,,,1.0,,
2019-11-02 09:16:38.191050400+00:00,,,0.0,,
2019-11-02 09:17:03.483086100+00:00,,,1.0,,
2019-11-02 09:18:09.472097500+00:00,,,,,1.0
2019-11-02 09:20:22.492082200+00:00,1.0,,,,
2019-11-02 09:21:12.744093100+00:00,,,0.0,,
2019-11-02 09:21:14.182099300+00:00,,,,,0.0
2019-11-02 09:21:24.154004+00:00,0.0,,,,
2019-11-02 09:36:36.891012800+00:00,1.0,,,,
2019-11-02 09:36:51.752093700+00:00,,,,,1.0
2019-11-02 09:36:54.942030200+00:00,,,1.0,,
2019-11-02 09:37:38.164064200+00:00,0.0,,,,
2019-11-02 09:37:52.169060800+00:00,,,,,0.0
2019-11-02 09:39:14.197072400+00:00,,,0.0,,
2019-11-02 09:45:15.393049300+00:00,,,1.0,,
2019-11-02 09:45:56.637005400+00:00,,,,,1.0
2019-11-02 09:46:42.401001700+00:00,,,0.0,,
2019-11-02 09:46:48.733010+00:00,,,1.0,,
2019-11-02 09:47:00.568047500+00:00,1.0,,,,
2019-11-02 09:47:50.680074500+00:00,,,0.0,,
2019-11-02 09:47:51.129012400+00:00,,,,,0.0
2019-11-02 09:48:02.118044+00:00,0.0,,,,
2019-11-02 09:48:05.359069300+00:00,1.0,,,,
2019-11-02 09:48:09.267011600+00:00,,,,,1.0
2019-11-02 09:49:07.394060100+00:00,0.0,,,,
2019-11-02 09:49:10.254040+00:00,,,,,0.0
2019-11-02 10:34:59.841041500+00:00,,,,,1.0
2019-11-02 10:35:07.304092100+00:00,1.0,,,,
2019-11-02 10:35:59.864049100+00:00,,,,,0.0
2019-11-02 10:36:09.364016500+00:00,0.0,,,,
2019-11-02 10:52:55.874065900+00:00,,,,1.0,
2019-11-02 10:55:03.387073+00:00,1.0,,,,
2019-11-02 10:55:05.875085400+00:00,,,,,1.0
2019-11-02 10:56:05.081011100+00:00,0.0,,,,
2019-11-02 10:56:07.098077800+00:00,,,,,0.0
2019-11-02 10:58:28.062085+00:00,,,,0.0,
2019-11-02 10:59:41.640010600+00:00,,,,,1.0
2019-11-02 10:59:48.302066800+00:00,1.0,,,,
2019-11-02 10:59:55.370056100+00:00,,,,1.0,
2019-11-02 11:00:41.857096400+00:00,,,,,0.0
2019-11-02 11:00:50.347071700+00:00,0.0,,,,
2019-11-02 11:03:56.291020400+00:00,,,,0.0,
2019-11-02 11:20:05.971082500+00:00,,,,1.0,
2019-11-02 11:28:09.501083800+00:00,1.0,,,,
2019-11-02 11:28:13.373085100+00:00,,,,,1.0
2019-11-02 11:28:17.983093200+00:00,,,1.0,,
2019-11-02 11:29:11.348041900+00:00,0.0,,,,
2019-11-02 11:29:14.068098800+00:00,,,,,0.0
2019-11-02 11:30:30.031042600+00:00,,,0.0,,
2019-11-02 11:30:57.336019800+00:00,,,,0.0,
2019-11-02 11:31:19.192053500+00:00,,,1.0,,
2019-11-02 11:32:19.863027700+00:00,,,,,1.0
2019-11-02 11:33:15.194012700+00:00,1.0,,,,
2019-11-02 11:33:42.399023900+00:00,,,,1.0,
2019-11-02 11:34:13.077005+00:00,,,,,0.0
2019-11-02 11:34:15.043005200+00:00,,,0.0,,
2019-11-02 11:34:17.016071900+00:00,0.0,,,,
2019-11-02 11:48:19.779000800+00:00,1.0,,,,
2019-11-02 11:48:35.574074100+00:00,,,1.0,,
2019-11-02 11:48:35.698013800+00:00,,,,,1.0
2019-11-02 11:49:21.035025900+00:00,0.0,,,,
2019-11-02 11:49:35.774022400+00:00,,,,,0.0
2019-11-02 11:49:36.523083+00:00,,,0.0,,
2019-11-02 11:49:56.850021700+00:00,,,,,1.0
2019-11-02 11:50:01.140011700+00:00,,,1.0,,
2019-11-02 11:50:04.043064100+00:00,1.0,,,,
2019-11-02 11:50:57.757073800+00:00,,,,,0.0
2019-11-02 11:51:02.215058200+00:00,,,0.0,,
2019-11-02 11:51:06.045061500+00:00,0.0,,,,
2019-11-02 11:54:44.983011900+00:00,,,,0.0,
2019-11-02 11:59:26.564010100+00:00,1.0,,,,
2019-11-02 11:59:31.423095100+00:00,,,,,1.0
2019-11-02 11:59:45.488019+00:00,,,1.0,,
2019-11-02 12:01:02.945053600+00:00,0.0,,,,
2019-11-02 12:01:06.035068800+00:00,,,,,0.0
2019-11-02 12:01:06.768027600+00:00,,,0.0,,
2019-11-02 12:12:58.256001600+00:00,,,,,1.0
2019-11-02 12:13:01.414022600+00:00,,,1.0,,
2019-11-02 12:13:02.882060100+00:00,1.0,,,,
2019-11-02 12:13:18.822011100+00:00,,,,1.0,
2019-11-02 12:13:58.761048200+00:00,,,,,0.0
2019-11-02 12:14:03.205094800+00:00,,,0.0,,
2019-11-02 12:14:04.065007900+00:00,0.0,,,,
2019-11-02 12:28:22.241043600+00:00,,,,0.0,
2019-11-02 12:47:04.030087100+00:00,,,,1.0,
2019-11-02 13:00:27.795099100+00:00,,,,0.0,
2019-11-02 13:12:12.537064600+00:00,1.0,,,,
2019-11-02 13:12:16.165002800+00:00,,,1.0,,
2019-11-02 13:12:16.528073+00:00,,,,,1.0
2019-11-02 13:13:14.250016700+00:00,0.0,,,,
2019-11-02 13:13:17.157005100+00:00,,,0.0,,
2019-11-02 13:13:20.650044900+00:00,,,1.0,,
2019-11-02 13:13:22.067030100+00:00,1.0,,,,
2019-11-02 13:14:15.707039300+00:00,,,,,0.0
2019-11-02 13:14:21.153013+00:00,,,0.0,,
2019-11-02 13:14:22.944006600+00:00,0.0,,,,
2019-11-02 14:32:30.261093800+00:00,1.0,,,,
2019-11-02 14:32:35.196081500+00:00,,,1.0,,
2019-11-02 14:32:36.103048600+00:00,,,,,1.0
2019-11-02 14:33:32.383003+00:00,0.0,,,,
2019-11-02 14:33:36.592022900+00:00,,,,,0.0
2019-11-02 14:33:46.774002900+00:00,,,0.0,,
2019-11-02 14:34:31.728093200+00:00,,,1.0,,
2019-11-02 14:34:55.257020300+00:00,,,,,1.0
2019-11-02 14:35:54.756049200+00:00,,,0.0,,
2019-11-02 14:35:55.596081700+00:00,,,,,0.0
2019-11-02 15:10:35.272027+00:00,,,,,1.0
2019-11-02 15:10:39.889056400+00:00,,,1.0,,
2019-11-02 15:10:41.845075400+00:00,1.0,,,,
2019-11-02 15:11:35.564042800+00:00,,,,,0.0
2019-11-02 15:11:41.943062900+00:00,,,0.0,,
2019-11-02 15:11:57.903041900+00:00,0.0,,,,
2019-11-02 16:03:48.075085700+00:00,1.0,,,,
2019-11-02 16:03:51.335025300+00:00,,,1.0,,
2019-11-02 16:03:52.046081+00:00,,,,,1.0
2019-11-02 16:05:12.849084400+00:00,,,,,0.0
2019-11-02 16:05:17.900054200+00:00,,,0.0,,
2019-11-02 16:05:19.852026700+00:00,0.0,,,,
2019-11-02 16:06:09.398022600+00:00,1.0,,,,
2019-11-02 16:06:14.092022700+00:00,,,,,1.0
2019-11-02 16:07:11.101066600+00:00,0.0,,,,
2019-11-02 16:07:14.776043300+00:00,,,,,0.0
2019-11-02 16:10:29.596088100+00:00,,,,,1.0
2019-11-02 16:11:19.577092500+00:00,1.0,,,,
2019-11-02 16:11:30.757055400+00:00,,,,,0.0
2019-11-02 16:12:20.844050600+00:00,0.0,,,,
2019-11-02 16:12:29.722081300+00:00,,,,1.0,
2019-11-02 16:14:17.673097+00:00,1.0,,,,
2019-11-02 16:14:21.831087500+00:00,,,,,1.0
2019-11-02 16:14:25.074063500+00:00,,1.0,,,
2019-11-02 16:15:18.831001300+00:00,0.0,,,,
2019-11-02 16:15:22.535036700+00:00,,,,,0.0
2019-11-02 16:15:25.998060300+00:00,,,,,1.0
2019-11-02 16:15:37.465052100+00:00,1.0,,,,
2019-11-02 16:16:05.142094400+00:00,,0.0,,,
2019-11-02 16:16:26.773040100+00:00,,,,,0.0
2019-11-02 16:16:38.824003+00:00,0.0,,,,
2019-11-02 16:16:59.035018300+00:00,,,,0.0,
2019-11-02 17:58:06.127004600+00:00,1.0,,,,
2019-11-02 17:58:10.017066800+00:00,,,,,1.0
2019-11-02 17:58:14.742077600+00:00,,,1.0,,
2019-11-02 17:59:08.015047700+00:00,0.0,,,,
2019-11-02 17:59:10.682086600+00:00,,,,,0.0
2019-11-02 17:59:51.548083400+00:00,,,0.0,,
2019-11-02 17:59:55.125083500+00:00,,,1.0,,
2019-11-02 18:00:34.221052400+00:00,,,,,1.0
2019-11-02 18:01:17.966088800+00:00,1.0,,,,
2019-11-02 18:01:26.482035+00:00,,,0.0,,
2019-11-02 18:02:09.663025400+00:00,,,,,0.0
2019-11-02 18:02:19.735093700+00:00,0.0,,,,
2019-11-02 18:59:04.084088900+00:00,1.0,,,,
2019-11-02 18:59:06.313058500+00:00,,,,,1.0
2019-11-02 19:00:30.625060100+00:00,,,,,0.0
2019-11-02 19:00:34.960037500+00:00,0.0,,,,
2019-11-02 19:47:27.091050400+00:00,1.0,,,,
2019-11-02 19:47:29.370071700+00:00,,,,,1.0
2019-11-02 19:47:31.319053200+00:00,,,1.0,,
2019-11-02 19:49:09.374010900+00:00,,,0.0,,
2019-11-02 19:49:13.540089800+00:00,,,,,0.0
2019-11-02 19:49:16.629085800+00:00,0.0,,,,
2019-11-02 19:50:21.226028400+00:00,1.0,,,,
2019-11-02 19:51:22.651096100+00:00,0.0,,,,
2019-11-02 19:53:31.487082800+00:00,1.0,,,,
2019-11-02 19:53:59.352062400+00:00,,,,,1.0
2019-11-02 19:55:32.564047+00:00,,,,,0.0
2019-11-02 19:55:42.653047100+00:00,0.0,,,,
2019-11-02 19:56:00.252019500+00:00,1.0,,,,
2019-11-02 19:56:02.592051+00:00,,,,,1.0
2019-11-02 19:56:05.641028300+00:00,,,1.0,,
2019-11-02 19:57:01.654016200+00:00,0.0,,,,
2019-11-02 19:57:03.283037900+00:00,,,,,0.0
2019-11-02 19:57:06.393030400+00:00,,,0.0,,
2019-11-02 19:57:40.253008300+00:00,,,1.0,,
2019-11-02 19:57:48.712016600+00:00,,,,,1.0
2019-11-02 19:58:15.087096600+00:00,1.0,,,,
2019-11-02 19:58:41.601065100+00:00,,,0.0,,
2019-11-02 19:59:07.551044900+00:00,,,,,0.0
2019-11-02 19:59:16.650053600+00:00,0.0,,,,
2019-11-02 20:13:14.293090+00:00,,,,1.0,
2019-11-02 20:27:52.567056400+00:00,,,,0.0,
2019-11-02 20:34:28.185072900+00:00,,,,1.0,
2019-11-02 20:39:08.076033800+00:00,1.0,,,,
2019-11-02 20:39:11.859008400+00:00,,,,,1.0
